주 시작일(월),주 종료일(일),페이지그룹,활성사용자,조회수,조회수비중(%),활성사용자당조회수,"평균참여시간(초, 근사)",이탈률(%),전주 대비 인사이트
2026. 7. 6,2026. 7. 12,공지사항,58,117,0.01,2.02,4.6,26.09,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,출석,5461,55472,4.94,10.16,2.5,10.46,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,학회일정,41,54,0,1.32,46.9,4.92,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,해외학회스케치 메인,34,130,0.01,3.82,31.6,12.5,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,해외학회스케치 상세,100,238,0.02,2.38,35.5,15.33,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,심사청구 메인,14,55,0,3.93,5.1,18.18,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,심사청구 상세,7,20,0,2.86,32.8,23.08,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,이벤트 메인,1100,3944,0.35,3.59,2.6,4.66,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,설문 메인,356,1230,0.11,3.46,7.2,6.27,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,CME매거진,7,19,0,2.71,7.3,16.67,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,포인트샵 메인,1744,4488,0.4,2.57,10.4,12.49,이전 기간 데이터 없음
2026. 7. 6,2026. 7. 12,업투데이트,34,91,0.01,2.68,3.7,5.38,이전 기간 데이터 없음
2026. 7. 13,2026. 7. 19,메인,6446,158270,17.01,24.55,7.2,12.42,⚠ 조회수 -17% / ▲ 이탈률 -11.2%
2026. 7. 13,2026. 7. 19,라이브세미나 편성표,5157,213650,22.96,41.43,17.5,12.73,⚠ 조회수 -17.2% / ▲ 이탈률 -8.5%
2026. 7. 13,2026. 7. 19,라이브세미나 상세,5190,278126,29.89,53.59,5.2,12.9,⚠ 조회수 -22.3%
2026. 7. 13,2026. 7. 19,VOD 다시보기 메인,1925,21887,2.35,11.37,3.6,23.65,⚠ 조회수 -14.2% / ▲ 평균참여시간 +20%
2026. 7. 13,2026. 7. 19,VOD 다시보기 상세,1834,33558,3.61,18.3,3.1,25.37,⚠ 조회수 -15.6% / ▲ 이탈률 -5.7%
2026. 7. 13,2026. 7. 19,아카데미 메인,113,253,0.03,2.24,18.1,6.1,⚠ 이탈률 +196.1% / ▲ 평균참여시간 +158.6%
2026. 7. 13,2026. 7. 19,아카데미-개원(opening),6,32,0,5.33,15.5,15.38,⚠ 활성사용자 -33.3% / ▲ 평균참여시간 +24%
2026. 7. 13,2026. 7. 19,아카데미-초음파(ultsound),5,77,0.01,15.4,8.3,8.33,⚠ 평균참여시간 -51.7% / ▲ 조회수 +413.3%
2026. 7. 13,2026. 7. 19,아카데미-법정의무교육(mst),15,34,0,2.27,9.4,5,▲ 평균참여시간 +67.9%
2026. 7. 13,2026. 7. 19,아카데미-에스테틱(plasur),3,14,0,4.67,3.4,0,⚠ 평균참여시간 -91.9% / ▲ 이탈률 -100%
2026. 7. 13,2026. 7. 19,아카데미-심부전(kshf),3,6,0,2,15.2,0,⚠ 활성사용자 -25% / ▲ 평균참여시간 +19.7%
2026. 7. 13,2026. 7. 19,아카데미-임상고혈압(clinicHp),4,8,0,2,12.3,0,▲ 조회수 +33.3%
2026. 7. 13,2026. 7. 19,드럭인포 메인,595,2572,0.28,4.32,2.4,20.39,⚠ 조회수 -14.4% / ▲ 이탈률 -9.5%
2026. 7. 13,2026. 7. 19,브랜드존 메인,1421,7249,0.78,5.1,2.7,11.11,▲ 평균참여시간 +22.7%
2026. 7. 13,2026. 7. 19,브랜드존 상세(퀴즈 포함),4844,25412,2.73,5.25,26.2,11.28,▲ 평균참여시간 +33.7%
2026. 7. 13,2026. 7. 19,알림,1701,11873,1.28,6.98,9.3,8.25,⚠ 조회수 -11.5% / ▲ 평균참여시간 +57.6%
2026. 7. 13,2026. 7. 19,마이페이지홈,754,2464,0.26,3.27,9.3,10.36,⚠ 조회수 -27.5% / ▲ 평균참여시간 +22.4%
2026. 7. 13,2026. 7. 19,포인트 이용내역,3563,22404,2.41,6.29,8.3,10.48,⚠ 조회수 -20.1% / ▲ 이탈률 -8.7%
2026. 7. 13,2026. 7. 19,포인트 적립안내,327,1709,0.18,5.23,2.6,6.93,⚠ 평균참여시간 -38.1%
2026. 7. 13,2026. 7. 19,1:1문의,53,127,0.01,2.4,25.7,2.27,⚠ 활성사용자 -28.4% / ▲ 이탈률 -61.7%
2026. 7. 13,2026. 7. 19,공지사항,110,170,0.02,1.55,7.1,14.84,▲ 활성사용자 +89.7%
2026. 7. 13,2026. 7. 19,출석,5278,51848,5.57,9.82,16.9,9.55,⚠ 조회수 -6.5% / ▲ 평균참여시간 +576%
2026. 7. 13,2026. 7. 19,학회일정,21,29,0,1.38,14.7,11.76,⚠ 이탈률 +139%
2026. 7. 13,2026. 7. 19,해외학회스케치 메인,26,141,0.02,5.42,20.5,8.77,⚠ 평균참여시간 -35.1% / ▲ 이탈률 -29.8%
2026. 7. 13,2026. 7. 19,해외학회스케치 상세,67,225,0.02,3.36,15.2,13.86,⚠ 평균참여시간 -57.2% / ▲ 이탈률 -9.6%
2026. 7. 13,2026. 7. 19,심사청구 메인,16,38,0,2.38,16.7,10,⚠ 조회수 -30.9% / ▲ 평균참여시간 +227.5%
2026. 7. 13,2026. 7. 19,심사청구 상세,7,20,0,2.86,24.6,20,⚠ 평균참여시간 -25% / ▲ 이탈률 -13.3%
2026. 7. 13,2026. 7. 19,이벤트 메인,1012,3561,0.38,3.52,2.1,4.09,⚠ 평균참여시간 -19.2% / ▲ 이탈률 -12.2%
2026. 7. 13,2026. 7. 19,설문 메인,324,1118,0.12,3.45,7.4,4.89,⚠ 조회수 -9.1% / ▲ 이탈률 -22%
2026. 7. 13,2026. 7. 19,CME매거진,11,20,0,1.82,6,8.33,⚠ 평균참여시간 -17.8% / ▲ 활성사용자 +57.1%
2026. 7. 13,2026. 7. 19,포인트샵 메인,2000,4385,0.47,2.19,12.3,10.99,▲ 평균참여시간 +18.3%
2026. 7. 13,2026. 7. 19,업투데이트,26,60,0.01,2.31,6.2,11.94,⚠ 이탈률 +121.9% / ▲ 평균참여시간 +67.6%
2026. 7. 20,2026. 7. 26,메인,6805,197600,16.9,29.04,8.3,12.38,▲ 조회수 +24.8%
2026. 7. 20,2026. 7. 26,라이브세미나 편성표,5297,255496,21.85,48.23,18.4,12.6,▲ 조회수 +19.6%
2026. 7. 20,2026. 7. 26,라이브세미나 상세,5376,374960,32.07,69.75,4.5,12.43,⚠ 평균참여시간 -13.5% / ▲ 조회수 +34.8%
2026. 7. 20,2026. 7. 26,VOD 다시보기 메인,2167,24077,2.06,11.11,3.3,22.32,⚠ 평균참여시간 -8.3% / ▲ 활성사용자 +12.6%
2026. 7. 20,2026. 7. 26,VOD 다시보기 상세,2108,36473,3.12,17.3,5.3,24.89,▲ 평균참여시간 +71%
